Name,SecId,ISIN,"Inception 
Date","Monthly Return 
2022-10 
ZAR","Return (Day to Day) 
2022-10-01 
to 2022-11-01 
ZAR","Daily Return Index 
2022-09-30 
ZAR","Daily Return Index 
2022-10-01 
ZAR","Daily Return Index 
2022-10-02 
ZAR","Daily Return Index 
2022-10-03 
ZAR","Daily Return Index 
2022-10-04 
ZAR","Daily Return Index 
2022-10-05 
ZAR","Daily Return Index 
2022-10-06 
ZAR","Daily Return Index 
2022-10-07 
ZAR","Daily Return Index 
2022-10-08 
ZAR","Daily Return Index 
2022-10-09 
ZAR","Daily Return Index 
2022-10-10 
ZAR","Daily Return Index 
2022-10-11 
ZAR","Daily Return Index 
2022-10-12 
ZAR","Daily Return Index 
2022-10-13 
ZAR","Daily Return Index 
2022-10-14 
ZAR","Daily Return Index 
2022-10-15 
ZAR","Daily Return Index 
2022-10-16 
ZAR","Daily Return Index 
2022-10-17 
ZAR","Daily Return Index 
2022-10-18 
ZAR","Daily Return Index 
2022-10-19 
ZAR","Daily Return Index 
2022-10-20 
ZAR","Daily Return Index 
2022-10-21 
ZAR","Daily Return Index 
2022-10-22 
ZAR","Daily Return Index 
2022-10-23 
ZAR","Daily Return Index 
2022-10-24 
ZAR","Daily Return Index 
2022-10-25 
ZAR","Daily Return Index 
2022-10-26 
ZAR","Daily Return Index 
2022-10-27 
ZAR","Daily Return Index 
2022-10-28 
ZAR","Daily Return Index 
2022-10-29 
ZAR","Daily Return Index 
2022-10-30 
ZAR","Daily Return Index 
2022-10-31 
ZAR","Daily Return Index 
2022-11-01 
ZAR",P/B Ratio (TTM) (Long),P/B Ratio (TTM) (Short),P/C Ratio (TTM) (Long),P/C Ratio (TTM) (Short),P/E Ratio (TTM) (Long),"Dividend 
YTD",Dividend Yield (Long)
10X SA Property Index A,F00001DXCX,ZAE000306494,23/02/2022,11.0557,10.4843,85.5443,85.5443,85.5443,85.4211,87.0063,86.2941,87.3639,87.887,87.887,87.887,88.9136,88.5148,88.1299,88.8392,89.3826,89.3826,89.3826,91.9007,92.9206,92.9237,93.2668,91.8299,91.8299,91.8299,91.9297,93.1456,93.6185,95.8003,95.4713,95.4713,95.4713,95.0018,94.513,0.61,,,,8.43,2.13,0.09
10X SA Property Index B,F00001DXCY,ZAE000306502,23/02/2022,11.0723,10.5003,85.6305,85.6305,85.6305,85.5103,87.0977,86.3856,87.4572,87.9821,87.9821,87.9821,89.0126,88.615,88.2304,88.9415,89.4863,89.4863,89.4863,92.008,93.0286,93.0316,93.3751,91.9369,91.9369,91.9369,92.0371,93.2549,93.7286,95.9129,95.5834,95.5834,95.5834,95.1118,94.622,0.61,,,,8.43,2.14,0.09
10X SA Property Index C,F00001DXCZ,ZAE000306510,23/02/2022,11.0961,10.5259,85.7304,85.7304,85.7304,85.6091,87.1997,86.4865,87.5602,88.0859,88.0859,88.0859,89.1186,88.7199,88.3353,89.0475,89.5933,89.5933,89.5933,92.1212,93.1448,93.1488,93.4933,92.0531,92.0531,92.0531,92.1563,93.3761,93.8509,96.0392,95.7108,95.7108,95.7108,95.2431,94.7542,0.61,,,,8.43,2.2,0.09
10X SA Property Index D,F00001DXD0,ZAE000306528,23/02/2022,11.0915,10.521,85.7246,85.7246,85.7246,85.6037,87.1933,86.4804,87.5535,88.0786,88.0786,88.0786,89.1102,88.7115,88.3266,89.0384,89.5841,89.5841,89.5841,92.1107,93.1339,93.138,93.4828,92.0435,92.0435,92.0435,92.1464,93.3661,93.8411,96.0292,95.7003,95.7003,95.7003,95.2328,94.7437,0.61,,,,8.43,2.2,0.09
10X SA Property Index P,F00001DXD1,ZAE000306536,23/02/2022,11.0723,10.5003,85.6305,85.6305,85.6305,85.5103,87.0977,86.3856,87.4572,87.9821,87.9821,87.9821,89.0126,88.615,88.2304,88.9415,89.4863,89.4863,89.4863,92.008,93.0286,93.0316,93.3751,91.9369,91.9369,91.9369,92.0371,93.2549,93.7286,95.9129,95.5834,95.5834,95.5834,95.1118,94.622,0.61,,,,8.43,2.14,0.09
10X SA Property Index T,F00001DXD2,ZAE000306544,23/02/2022,11.0551,10.4836,85.5151,85.5151,85.5151,85.392,86.9762,86.2643,87.3338,87.8567,87.8567,87.8567,88.8828,88.4841,88.0993,88.8083,89.3516,89.3516,89.3516,91.8688,92.8883,92.8914,93.2343,91.798,91.798,91.798,91.8977,93.1133,93.5858,95.767,95.4381,95.4381,95.4381,94.9689,94.4802,0.61,,,,8.43,2.13,0.09
10X Top 60 SA Equity Index A,F00001DS5S,ZAE000304093,01/11/2021,5.1007,6.0634,99.9618,99.9618,99.9618,100.5715,103.7172,102.6579,103.2055,103.0527,103.0527,103.0527,101.6918,101.5293,101.4733,101.141,100.9355,100.9355,100.9355,104.1035,104.2757,103.3731,103.4465,102.993,102.993,102.993,101.6122,103.1058,105.3572,105.6005,104.5561,104.5561,104.5561,105.0606,106.0229,1.45,,7.13,,11.9,0.18,0.05
10X Top 60 SA Equity Index B,F00001DXCG,ZAE000304101,01/11/2021,5.1143,6.0772,100.1254,100.1254,100.1254,100.736,103.8874,102.8258,103.3742,103.2215,103.2215,103.2215,101.8588,101.6961,101.6398,101.3074,101.1015,101.1015,101.1015,104.276,104.4487,103.5449,103.6182,103.1643,103.1643,103.1643,101.7814,103.2777,105.5313,105.7754,104.73,104.73,104.73,105.2461,106.2102,1.45,,7.13,,11.9,0.2,0.05
10X Top 60 SA Equity Index C,F00001DXCH,ZAE000304119,01/11/2021,5.1329,6.0968,100.3533,100.3533,100.3533,100.9681,104.1271,103.0645,103.6149,103.4632,103.4632,103.4632,102.1011,101.9394,101.8842,101.5517,101.3468,101.3468,101.3468,104.5299,104.7037,103.7987,103.8731,103.419,103.419,103.419,102.0358,103.5366,105.7966,106.0418,104.9941,104.9941,104.9941,105.5044,106.4717,1.45,,7.13,,11.9,0.27,0.05
10X Top 60 SA Equity Index D,F00001DXCI,ZAE000304127,01/11/2021,5.1337,6.0977,100.297,100.297,100.297,100.912,104.0698,103.008,103.5586,103.4064,103.4064,103.4064,102.0439,101.8819,101.8268,101.4943,101.2893,101.2893,101.2893,104.4713,104.6453,103.7407,103.8154,103.3613,103.3613,103.3613,101.9787,103.4789,105.7381,105.9834,104.9363,104.9363,104.9363,105.4459,106.4128,1.45,,7.13,,11.9,0.26,0.05
